GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers,RebelController,0,42,0,0,0,9,0,6,0,6
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers,ReportsController,0,18,0,0,0,4,0,4,0,4
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.requests,CoordinatesRequest,16,31,0,0,1,6,4,6,4,6
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.requests,RebelRequest.RebelRequestBuilder,12,42,0,0,0,1,1,7,1,7
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.requests,BagRequest,16,31,0,0,1,6,4,6,4,6
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.requests,RebelRequest,20,61,0,0,1,14,5,8,5,8
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.requests,BagRequest.BagRequestBuilder,10,35,0,0,0,1,1,6,1,6
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.requests,CoordinatesRequest.CoordinatesRequestBuilder,15,30,0,0,0,1,2,5,2,5
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.responses,RebelResponse.RebelResponseBuilder,18,63,0,0,0,1,1,10,1,10
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.responses,CoordinatesResponse,16,65,0,0,1,18,4,8,4,8
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.responses,BagResponse.BagResponseBuilder,12,42,0,0,0,1,1,7,1,7
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.responses,MessageResponseDTO,3,10,0,0,1,2,1,2,1,2
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.responses,MessageResponseDTO.MessageResponseDTOBuilder,9,9,0,0,0,1,2,2,2,2
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.responses,RebelResponse,53,75,0,0,8,13,15,4,15,4
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.responses,BagResponse,38,45,0,0,7,9,11,3,11,3
starWarsResistence,com.starwarsresistence.starWarsResistence.gateways.controllers.responses,CoordinatesResponse.CoordinatesResponseBuilder,10,35,0,0,0,1,1,6,1,6
starWarsResistence,com.starwarsresistence.starWarsResistence.usecases,TradeRebelItems,0,27,0,2,0,6,0,3,0,2
starWarsResistence,com.starwarsresistence.starWarsResistence.usecases,ListRebels,0,10,0,0,0,2,0,2,0,2
starWarsResistence,com.starwarsresistence.starWarsResistence.usecases,UpdateCoordinates,0,27,0,2,0,6,0,3,0,2
starWarsResistence,com.starwarsresistence.starWarsResistence.usecases,ReportRebel,0,18,0,2,0,5,0,3,0,2
starWarsResistence,com.starwarsresistence.starWarsResistence.usecases,CreateRebel,0,27,0,2,0,5,0,3,0,2
starWarsResistence,com.starwarsresistence.starWarsResistence.usecases,Reports,0,18,0,0,0,4,0,4,0,4
starWarsResistence,com.starwarsresistence.starWarsResistence.usecases.validators,TradeRebelItemsValidator,8,31,6,2,0,9,4,2,0,2
starWarsResistence,com.starwarsresistence.starWarsResistence.usecases.validators,CreateRebelValidator,0,49,5,5,0,13,5,2,0,2
starWarsResistence,com.starwarsresistence.starWarsResistence.usecases.validators,UpdateCoordinatesValidator,0,40,4,4,0,11,4,2,0,2
starWarsResistence,com.starwarsresistence.starWarsResistence.domains,Rebel,24,78,0,0,0,14,6,13,6,13
